instance_id,family,size,full_status,mandatory_status,original_variables,reduced_variables,variables_removed,variable_reduction_fraction,original_requirements,reduced_requirements,requirements_removed,requirement_reduction_fraction,forced_selections,fixed_point_iterations,full_par2_seconds,mandatory_par2_seconds,log_par2_difference_full_minus_mandatory,full_node_count,mandatory_node_count,node_difference_full_minus_mandatory,log1p_node_difference_full_minus_mandatory,full_record_path,full_record_sha256,mandatory_record_path,mandatory_record_sha256
V2-A-N015-R010-X01,small_exact,N15-R10,SOLVED,SOLVED,15,7,8,0.5333333333333333,10,8,2,0.2,2,8,6.202236084,1.522489667,1.4045629520238307,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,f59013a98b284e8392dcd9ff8aa243ed81a537a230f6b81c8f248ccd5d19883c,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X01/jump_highs_tagged_cover__mandatory_only.toml,681922f6e5204dd2239960ff088429a989062ad43b1119a7ce5d09627fa47c56
V2-A-N015-R010-X02,small_exact,N15-R10,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,15,0,15,1.0,10,0,10,1.0,2,16,3.6010015,1.689288625,0.7569044928520131,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,ddb366e2b81fa82af52e5c7f5b1fc7ab7ae9b8ee33a33d34d52b1e77c5b186a0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X02/jump_highs_tagged_cover__mandatory_only.toml,9b6b79dce21adeb718de3991ff067e6008b6ce907e7e062395e753cbc4e0d11d
V2-A-N015-R010-X03,small_exact,N15-R10,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,15,0,15,1.0,10,0,10,1.0,3,19,5.231788166,1.746000084,1.0974256196580083,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,07620ceb7eb9163d8d3e8a22c8353a96a2294b126e0449b7fb4488ec0e77480a,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X03/jump_highs_tagged_cover__mandatory_only.toml,79f173b5e3b11dd7775d1e0da5d9eab905e229de03f1af96d671c454dd5e24a7
V2-A-N015-R010-X04,small_exact,N15-R10,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,15,0,15,1.0,10,0,10,1.0,3,16,4.0875485,1.565431,0.959784216158707,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,86d2bb5a19248f5abd46e3e762ff5c8a9b7e03e22884ee4d735b6db0cbb43204,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X04/jump_highs_tagged_cover__mandatory_only.toml,9306ab3ced50937826852d275c10b086c11427c0fd46e275174efb0e73a7ef02
V2-B-N064-R032-C01-X01,structured,N64-R32,SOLVED,SOLVED,64,23,41,0.640625,32,30,2,0.0625,1,43,5.281784958,1.677355125,1.1470458783181767,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/jump_highs_tagged_cover__full_fixed_point.toml,dad695e59dadbd9dcb362e3be1cba073c30098d7e00faa77ef5ddca637c9de0c,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/jump_highs_tagged_cover__mandatory_only.toml,b6ffbe5478917b3fa4684d0b3ba406c21a039d3e30f93be8fa49b7d8d8b33e3c
V2-B-N064-R032-C01-X02,structured,N64-R32,SOLVED,SOLVED,64,22,42,0.65625,32,29,3,0.09375,1,45,8.611242625,2.390105584,1.281731089113618,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/jump_highs_tagged_cover__full_fixed_point.toml,d6a122e28f357877cc13f796eb8ac3b12e381e33c3405a2a3361eb77764844cb,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/jump_highs_tagged_cover__mandatory_only.toml,e34e60c65ef30428e823f915efc7bb367807ef94e0131ba4c8316f0a330c0676
V2-B-N064-R032-C02-X01,structured,N64-R32,SOLVED,SOLVED,64,5,59,0.921875,32,4,28,0.875,5,74,7.212842541,2.373869917,1.1113416235675957,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/jump_highs_tagged_cover__full_fixed_point.toml,8f71c1fce340519cf25fdd603251c88564cf40bb158ab09fba32e041142a905a,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/jump_highs_tagged_cover__mandatory_only.toml,15f445f837ed975f6b57de6ab449b51e6a5de3ca6dcb458d6a38c5368a46ca60
V2-B-N064-R032-C02-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,64,0,64,1.0,32,0,32,1.0,6,79,9.413337875,2.22215975,1.4436480231058786,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/jump_highs_tagged_cover__full_fixed_point.toml,94e2cce1c3e57397c6765792544e2cfaf6247ecab17d81b973e14ab041f430f3,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/jump_highs_tagged_cover__mandatory_only.toml,88e37b1e89a70b486483f72d5f84afc8b52e27d22cc2c2adffb0ab6e77b45f35
V2-B-N064-R032-C03-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,64,0,64,1.0,32,0,32,1.0,6,39,4.508598917,1.322012,1.2268316252861413,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/jump_highs_tagged_cover__full_fixed_point.toml,95607703eafef5178fb7315f1ad83e418c43dabfd08276514a9ebd08a7e23aa1,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/jump_highs_tagged_cover__mandatory_only.toml,5224bb5ef7b25f95810b19a7d59ccbcb067ca7f99ba5be29d298e3c04143694d
V2-B-N064-R032-C03-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,64,0,64,1.0,32,0,32,1.0,5,64,3.699519,2.12447925,0.5546760976784156,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X02/jump_highs_tagged_cover__full_fixed_point.toml,833d9554abccdf3b5c9442db0f41a4265cf6c052a675a2d853f2010bfe4bff97,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X02/jump_highs_tagged_cover__mandatory_only.toml,91efcf42cd3c93a745ea829d305f5a2115014cf74d23a708a6151f2ec114a235
