trial_id,method,source_size,retained_size,removed_count,library_reduction,budget_kind,budget_fraction,budget_amount,passive_value,research_option_premium,total_value,signed_operational_loss,signed_generative_loss,signed_total_dynamic_loss,operational_loss,generative_loss,total_dynamic_loss,future_value_loss,retained_ids,decomposition_gate
55,approx_generative,6,1,5,5//6,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
56,frontier_only,5,3,2,2//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_3,true
56,innovation_safe,5,3,2,2//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_3,true
56,approx_operational,5,3,2,2//5,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_3,true
56,approx_generative,5,1,4,4//5,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
57,frontier_only,5,2,3,3//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1,true
57,innovation_safe,5,2,3,3//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1,true
57,approx_operational,5,2,3,3//5,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1,true
57,approx_generative,5,1,4,4//5,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
58,frontier_only,6,3,3,1//2,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_5,true
58,innovation_safe,6,4,2,1//3,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_4;strategy_5,true
58,approx_operational,6,3,3,1//2,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_5,true
58,approx_generative,6,1,5,5//6,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
59,frontier_only,5,3,2,2//5,none,0//1,0//1,1925//192,0//1,1925//192,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_3,true
59,innovation_safe,5,3,2,2//5,none,0//1,0//1,1925//192,0//1,1925//192,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_3,true
