prefix_n,scope,factor,level,estimand,statistic_kind,event_count,non_event_count,observation_count,exact_sum,estimate,exact_sample_variance,interval_kind,interval_low,interval_high,mcse,warning_code,warning,simulation_precision_only
100,factor,module_overlap,high,frontier_positive_loss_frequency,frequency,23,26,49,23//1,23//49,,Wilson descriptive simulation interval,0.337035036932,0.606191360163,,,,true
100,factor,module_overlap,high,mean_positive_frontier_loss,mean,23,26,23,4591043//196608,4591043//4521984,8728645140139//9779640532992,,,,0.19699175754,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,module_overlap,high,innovation_safe_loss_frequency,frequency,0,49,49,0//1,0//1,,Wilson descriptive simulation interval,6.93889390391e-18,0.0726978192205,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,module_overlap,high,silent_generative_asset_frequency,frequency,23,222,245,23//1,23//245,,Wilson descriptive simulation interval,0.0633709415513,0.136923089262,,,,true
100,factor,module_overlap,high,substitution_frequency,frequency,23,26,49,23//1,23//49,,Wilson descriptive simulation interval,0.337035036932,0.606191360163,,,,true
100,factor,module_overlap,high,complementarity_frequency,frequency,0,49,49,0//1,0//1,,Wilson descriptive simulation interval,6.93889390391e-18,0.0726978192205,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,module_overlap,high,frontier_only_mean_compression_ratio,mean,49,0,49,121//6,121//294,299//42336,,,,0.012005566091,,,true
100,factor,module_overlap,high,innovation_safe_mean_compression_ratio,mean,49,0,49,12//1,12//49,299//42336,,,,0.012005566091,,,true
100,factor,module_complementarity,weak,frontier_positive_loss_frequency,frequency,20,30,50,20//1,2//5,,Wilson descriptive simulation interval,0.276083897303,0.538185622524,,,,true
100,factor,module_complementarity,weak,mean_positive_frontier_loss,mean,20,30,20,84489//4096,84489//81920,132281946137//114756157440,,,,0.240075195483,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,module_complementarity,weak,innovation_safe_loss_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,module_complementarity,weak,silent_generative_asset_frequency,frequency,20,230,250,20//1,2//25,,Wilson descriptive simulation interval,0.0523823283723,0.120329643204,,,,true
100,factor,module_complementarity,weak,substitution_frequency,frequency,22,28,50,22//1,11//25,,Wilson descriptive simulation interval,0.311621992113,0.576939719783,,,,true
100,factor,module_complementarity,weak,complementarity_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,module_complementarity,weak,frontier_only_mean_compression_ratio,mean,50,0,50,21//1,21//50,26//3675,,,,0.0118952342827,,,true
100,factor,module_complementarity,weak,innovation_safe_mean_compression_ratio,mean,50,0,50,37//6,37//300,1681//88200,,,,0.0195238095238,,,true
100,factor,module_complementarity,strong,frontier_positive_loss_frequency,frequency,25,25,50,25//1,1//2,,Wilson descriptive simulation interval,0.366445143168,0.633554856832,,,,true
100,factor,module_complementarity,strong,mean_positive_frontier_loss,mean,25,25,25,947999//32768,947999//819200,13399495626007//11596411699200,,,,0.214987103532,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,module_complementarity,strong,innovation_safe_loss_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,module_complementarity,strong,silent_generative_asset_frequency,frequency,25,225,250,25//1,1//10,,Wilson descriptive simulation interval,0.0686549289883,0.143451710608,,,,true
100,factor,module_complementarity,strong,substitution_frequency,frequency,25,25,50,25//1,1//2,,Wilson descriptive simulation interval,0.366445143168,0.633554856832,,,,true
100,factor,module_complementarity,strong,complementarity_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,module_complementarity,strong,frontier_only_mean_compression_ratio,mean,50,0,50,62//3,31//75,26//3675,,,,0.0118952342827,,,true
100,factor,module_complementarity,strong,innovation_safe_mean_compression_ratio,mean,50,0,50,35//6,7//60,65//3528,,,,0.0191958517817,,,true
100,factor,project_cost,low,frontier_positive_loss_frequency,frequency,35,14,49,35//1,5//7,,Wilson descriptive simulation interval,0.575911164922,0.821504055412,,sparse_nonevents,event or nonevent support is below the registered sparse-count threshold,true
100,factor,project_cost,low,mean_positive_frontier_loss,mean,35,14,35,2104505//49152,420901//344064,387152204681//287494373376,,,,0.196151742942,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,project_cost,low,innovation_safe_loss_frequency,frequency,0,49,49,0//1,0//1,,Wilson descriptive simulation interval,6.93889390391e-18,0.0726978192205,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,project_cost,low,silent_generative_asset_frequency,frequency,35,210,245,35//1,1//7,,Wilson descriptive simulation interval,0.104544838895,0.192196142976,,,,true
100,factor,project_cost,low,substitution_frequency,frequency,36,13,49,36//1,36//49,,Wilson descriptive simulation interval,0.597377110287,0.83788717865,,sparse_nonevents,event or nonevent support is below the registered sparse-count threshold,true
100,factor,project_cost,low,complementarity_frequency,frequency,0,49,49,0//1,0//1,,Wilson descriptive simulation interval,6.93889390391e-18,0.0726978192205,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
